"","CAM_1","CAM_2","CAM_like_1","CAM_like_2","CAM_like_3","Micro_1","Micro_2","Micro_3","Micro_4","Micro_like"
"CEBPB_extended (33g)",-1.0092606452399,1.41610369814345,0.211752304959739,1.04395040926616,1.59208358431671,-0.748238054785405,-0.721969794567269,-0.83004234054606,-0.678623169044362,-0.275755992503068
"CHD2 (92g)",-0.625455928737387,-0.37951595655619,-0.192654656496281,-0.583801419186039,0.0898243810580522,-0.373593287411908,-0.389124134941708,-0.496006198770343,2.7380050799167,0.212322121125099
"CHD2_extended (175g)",-0.545577946254919,-0.482717298830558,-0.155404187070754,-0.576420749362755,-0.0740686981783886,-0.341621925239706,-0.320654367940335,-0.590419600047364,2.72133931149528,0.365545461429496
"ELF1 (267g)",-0.490282350295873,-0.118067344221795,0.365759518652741,-0.037113796211737,0.29900170668567,-0.882157790665767,-0.775366208719329,-1.41884624992247,2.00590291570721,1.05116959899135
"ELF1_extended (380g)",-0.354392611723045,-0.326354738919823,0.281787144526564,-0.0774903702139398,0.251536502952358,-0.838275869913321,-0.73788499050587,-1.33603116188453,2.14576263279509,0.991343462886515
"FLI1 (12g)",1.45994948115386,-0.00338874345638366,-1.01401910260728,-1.07062645755721,-0.925706540816185,0.643622824618795,0.631492869827807,1.45376514811639,-0.25569888380924,-0.919390595470553
"FLI1_extended (61g)",0.923705646654013,0.0338050080438889,-1.08705467128876,-1.17938683412978,-0.905682940368524,0.680251276560432,0.631146965237058,1.76763602000366,0.0113467413162694,-0.875767212028259
"FOS (63g)",-0.251034167045087,-0.775316671787278,0.56384722586253,-0.336944447010826,0.476375990202419,-0.597010317446479,-0.608090913382194,-1.46934155864563,1.88590624283667,1.11160861641587
"FOS_extended (117g)",-0.358755966386971,-0.796333006742468,0.465889116285165,-0.261415060352136,0.404975402898682,-0.563997168598065,-0.584234468645421,-1.37733535271916,2.0431080448434,1.02809845941697
"FOSB (57g)",-0.321891264456447,-1.08637856434065,0.768470516358793,0.198407990776214,0.513391598245897,-0.769862110133049,-0.72080574718522,-1.33586867248034,1.12021235318824,1.63432390002656
