"","Micro_1","CAM_2","Micro_3","Micro_2","Micro_4","CAM_1","CAM_like_3","CAM_like_2","CAM_like_1","Micro_like"
"CEBPB_extended (33g)",0.0682211587414724,0.510135135135135,0.0553555355535554,0.0692821368948247,0.0746887966804979,0.00647249190938511,0.58719052744887,0.486167341430499,0.285551763367463,0.169302870533099
"CHD2 (92g)",0.0025455656246818,0,0.0072007200720072,0.00333889816360601,0.493775933609959,0,0.0344456404736276,0.00337381916329285,0.025028441410694,0.0339777387229057
"ELF1 (267g)",0.000610935749923633,0,0,0.00333889816360601,0.344398340248963,0.00323624595469256,0.0301399354144241,0.0323886639676113,0.052901023890785,0.110134739308729
"FLI1 (12g)",0.560940841054882,0.413851351351351,0.72007200720072,0.565943238731219,0.311203319502075,0.766990291262136,0.119483315392896,0.0735492577597841,0.0887372013651877,0.123022847100176
"FOS (63g)",0.0338051114957744,0,0.00045004500450045,0.0409015025041736,0.493775933609959,0.0355987055016181,0.138320775026911,0.0263157894736842,0.118316268486917,0.257469244288225
"FOSB (57g)",0.0151715711231036,0.00168918918918919,0,0.0217028380634391,0.348547717842324,0.0323624595469256,0.157696447793326,0.0782726045883941,0.207053469852105,0.51933216168717
"FOXP1_extended (74g)",0.000203645249974544,0.800675675675676,0,0.000834724540901503,0,0.0906148867313916,0.235199138858988,0.0597165991902834,0.00853242320819113,0.000585823081429408
"IKZF1 (11g)",0.3464005702067,0.888513513513513,0.475697569756976,0.354757929883139,0.381742738589212,0.268608414239482,0.428417653390743,0.197368421052632,0.125711035267349,0.166959578207381
"IRF7 (147g)",0.0117096018735363,0.371621621621622,0.0027002700270027,0.0509181969949917,0.00829875518672199,0.0226537216828479,0.985468245425188,0.987179487179487,0.958475540386803,0.925600468658465
"JUN_extended (376g)",0.00285103349964362,0,0.00045004500450045,0.00584307178631052,0.390041493775934,0.00323624595469256,0.011302475780409,0.00337381916329285,0.080773606370876,0.685120093731693
"JUNB (43g)",0.0229100906221362,0.114864864864865,0.0018001800180018,0.0409015025041736,0.116182572614108,0.0129449838187702,0.560818083961249,0.515856950067476,0.572241183162685,0.603104862331576
"KLF2_extended (27g)",0.0359433866205071,0.0540540540540541,0.0369036903690369,0.0367278797996661,0.244813278008299,0.0809061488673139,0.26264800861141,0.12280701754386,0.214448236632537,0.721148213239602
"MAF_extended (52g)",0.945015782506873,0.0304054054054054,0.926192619261926,0.908180300500835,0.921161825726141,0.368932038834951,0.00914962325080732,0.00269905533063428,0.00341296928327645,0.0556531927357938
"NFKB1 (279g)",0.0115059566235618,0.341216216216216,0.00225022502250225,0.0517529215358932,0.161825726141079,0.40453074433657,0.777179763186222,0.91025641025641,0.862343572241183,0.814879906268307
"POU2F2_extended (17g)",0.0206699928724163,0.972972972972973,0.036003600360036,0.0358931552587646,0.024896265560166,0.0679611650485437,0.705059203444564,0.185560053981107,0.083617747440273,0.025776215582894
"RUNX2_extended (11g)",0.625190917421851,0.0591216216216216,0.632313231323132,0.626043405676127,0.431535269709544,0.482200647249191,0.0532831001076426,0.106275303643725,0.223549488054608,0.12829525483304
"SPI1 (129g)",0.0135424091233072,0.621621621621622,0.0324032403240324,0.0217028380634391,0.033195020746888,0.00323624595469256,0.656620021528525,0.220985155195682,0.221843003412969,0.0483304042179262
"STAT1 (120g)",0.00702576112412178,0.136824324324324,0.0063006300630063,0.0275459098497496,0,0.00970873786407767,0.658234660925727,0.55668016194332,0.524459613196815,0.304335090802578
