"","Micro_1","CAM_2","Micro_3","Micro_2","Micro_4","CAM_1","CAM_like_3","CAM_like_2","CAM_like_1","Micro_like"
"AHR (69g)",0.00609570252971655,0.182432432432432,0.00134649910233393,0.0415973377703827,0.004149377593361,0.13125,0.601722282023681,0.926113360323887,0.727531285551763,0.14381956649092
"ATF3 (771g)",0.0136137356497003,0.403716216216216,0.00359066427289048,0.0549084858569052,0.385892116182573,0.08125,0.964477933261572,0.931511470985155,0.972696245733788,0.973637961335677
"BACH1 (53g)",0.00132073554810525,0.0658783783783784,0.000448833034111311,0.0124792013311148,0,0.015625,0.179224973089343,0.586032388663968,0.241183162684869,0.000878734622144112
"BCLAF1 (306g)",0.000711165295133598,0,0,0.00249584026622296,0.336099585062241,0,0.0419806243272336,0.0226045883940621,0.0568828213879408,0.100468658465144
"BHLHE40 (531g)",0.0132073554810525,0.628378378378378,0.0040394973070018,0.0540765391014975,0.012448132780083,0.1375,0.994079655543595,0.998650472334683,0.981797497155859,0.941124780316345
"BRCA1 (25g)",0.0480544549425988,0.0287162162162162,0.0745062836624776,0.0482529118136439,0.120331950207469,0.046875,0.0430570505920344,0.00742240215924426,0.0324232081911263,0.083186877562976
"CEBPB_extended (1790g)",0.0680686782485015,0.579391891891892,0.0161579892280072,0.0873544093178037,0.0539419087136929,0.134375,0.96286329386437,0.974358974358974,0.892491467576792,0.846514352665495
"CTCF_extended (11g)",0.0430762978766636,0.0625,0.0668761220825853,0.0499168053244592,0.0497925311203319,0.028125,0.0522066738428418,0.0226045883940621,0.0273037542662116,0.0357352079671939
"CUX1_extended (1642g)",0,0.180743243243243,0,0,0,0.00625,0.0263724434876211,0.172739541160594,0.0221843003412969,0.000585823081429408
"EGR1 (19g)",0.0198110332215788,0.00168918918918919,0.00269299820466786,0.0274542429284526,0.103734439834025,0.046875,0.0909580193756728,0.0647773279352227,0.21160409556314,0.575864089045108
"ELF1_extended (5657g)",0.000203190084323885,0.0540540540540541,0,0.000831946755407654,0.315352697095436,0.003125,0.0306781485468245,0.0587044534412955,0.0688282138794084,0.112478031634446
"ELF2 (36g)",0.153814893833181,0.662162162162162,0.179084380610413,0.164725457570715,0.128630705394191,0.184375,0.407965554359526,0.309041835357625,0.156996587030717,0.0834797891036907
"EP300 (316g)",0.372447424565681,0.714527027027027,0.491472172351885,0.39018302828619,0.149377593360996,0.525,0.119483315392896,0.0371120107962213,0.0472127417519909,0.0246045694200351
"ETV6_extended (5862g)",0,0.315878378378378,0,0,0,0.03125,0.0242195909580194,0.0296896086369771,0.0255972696245734,0.00644405389572349
"EZH2_extended (76g)",0.00538453723458295,0.00168918918918919,0.0107719928186715,0.00915141430948419,0.0663900414937759,0,0.0382131324004306,0.0128205128205128,0.0329920364050057,0.107791446983011
"FOS (1433g)",0.000914355379457483,0,0,0.00166389351081531,0.622406639004149,0.003125,0.0457481162540366,0.0151821862348178,0.0762229806598407,0.351493848857645
"FOSB (292g)",0.00487656202377324,0.00844594594594595,0.000897666068222621,0.0166389351081531,0.170124481327801,0.003125,0.255651237890204,0.355263157894737,0.254266211604096,0.394844756883421
"FOSL2 (278g)",0.0109722645534898,0.422297297297297,0.00179533213644524,0.0524126455906822,0.012448132780083,0.56875,0.993003229278794,0.998313090418354,0.996587030716723,0.963093145869947
"FOXO1 (86g)",0,0.778716216216216,0.000448833034111311,0.00166389351081531,0,0.009375,0.230355220667384,0.0229419703103914,0.00455062571103527,0
"GRHL1_extended (18g)",0.572894442751194,0.0945945945945946,0.1745960502693,0.511647254575707,0.601659751037344,0.70625,0.34983853606028,0.220310391363023,0.484641638225256,0.909783245459871
"GTF2B_extended (416g)",0.00040638016864777,0,0,0.00499168053244592,0.639004149377593,0.003125,0.0193756727664155,0.00269905533063428,0.0443686006825939,0.287932044522554
"HES1 (10g)",0.00304785126485827,0.25,0.00224416517055655,0.00582362728785358,0.037344398340249,0.003125,0.427341227125942,0.129554655870445,0.141069397042093,0.0248974809607499
"HIVEP1 (95g)",0.00243828101188662,0.891891891891892,0.00134649910233393,0.0183028286189684,0,0.175,0.641550053821313,0.598515519568151,0.250853242320819,0.00292911540714704
"HIVEP2 (14g)",0.0268210911307528,0.415540540540541,0.0264811490125673,0.0540765391014975,0.016597510373444,0.48125,0.319698600645856,0.609311740890688,0.5193401592719,0.121851200937317
"HMGN3_extended (29g)",0.521690541501575,0.0675675675675676,0.325852782764811,0.480033277870216,0.622406639004149,0.4625,0.0785791173304629,0.0425101214574899,0.198521046643914,0.661394258933802
"IRF1 (517g)",0.0111754546378137,0.956081081081081,0.00134649910233393,0.0515806988352745,0.016597510373444,0.209375,0.997308934337998,0.999662618083671,0.995449374288965,0.977152899824253
"IRF2_extended (14g)",0.0536421822615056,0.462837837837838,0.0754039497307002,0.0574043261231281,0.0539419087136929,0.059375,0.114639397201292,0.0421727395411606,0.0216154721274175,0.0272407732864675
"IRF7 (318g)",0.0121914050594331,0.869932432432432,0.00269299820466786,0.0532445923460899,0.024896265560166,0.271875,0.996232508073197,0.999325236167341,0.998293515358362,0.978910369068541
"IRF8 (32g)",0.152290968200752,0.0236486486486486,0.197935368043088,0.181364392678869,0.327800829875519,0.1,0.183530678148547,0.139338731443995,0.159840728100114,0.545108377270064
"JUN_extended (2250g)",0.0216397439804938,0.00675675675675676,0.0112208258527828,0.0640599001663893,0.937759336099585,0.221875,0.679763186221744,0.744601889338731,0.903299203640501,0.989455184534271
"JUNB_extended (1110g)",0.0117850248907853,0.586148648648649,0.00314183123877917,0.0532445923460899,0.618257261410788,0.203125,0.986006458557589,0.992240215924426,0.992605233219568,0.98066783831283
"JUND (279g)",0.0263131159199431,0.478040540540541,0.00942549371633752,0.0607321131447587,0.132780082987552,0.140625,0.924111948331539,0.967273954116059,0.934584755403868,0.951669595782074
"KLF13_extended (111g)",0.00111754546378137,0.954391891891892,0.00134649910233393,0.00998336106489185,0,0.00625,0.734660925726588,0.111673414304993,0.0517633674630262,0.00263620386643234
"MAFB_extended (134g)",0.0136137356497003,0.565878378378378,0.00448833034111311,0.0549084858569052,0.0746887966804979,0.03125,0.953175457481163,0.974696356275304,0.916951080773606,0.908025776215583
"MGA_extended (17g)",0.108097124860307,0.0625,0.156193895870736,0.103993344425957,0.132780082987552,0.190625,0.0339074273412271,0.0168690958164642,0.0267349260523322,0.0579964850615114
"NFIL3_extended (797g)",0.0109722645534898,0.763513513513513,0.00269299820466786,0.0524126455906822,0.020746887966805,0.284375,0.996770721205597,0.999662618083671,0.995449374288965,0.976859988283538
"NR3C1 (2929g)",0.978766636188154,0.54222972972973,0.991023339317774,0.953410981697171,0.979253112033195,0.971875,0.186221743810549,0.169028340080972,0.257679180887372,0.382249560632689
"NRF1_extended (15g)",0.0789393477598293,0.0472972972972973,0.105026929982047,0.084026622296173,0.0954356846473029,0.065625,0.0495156081808396,0.0253036437246964,0.0346985210466439,0.0295840656121851
"POLR2A (108g)",0.0708117443868739,0.0253378378378378,0.0565529622980251,0.0707154742096506,0.962655601659751,0.021875,0.190527448869752,0.0384615384615385,0.120591581342435,0.340070298769772
"POU2F2_extended (44g)",0,0.695945945945946,0,0.000831946755407654,0,0.009375,0.282561894510226,0.00607287449392713,0.00625711035267349,0
"PPARD (50g)",0.977852280808697,0.0422297297297297,0.962746858168761,0.933444259567388,0.734439834024896,0.740625,0.00269106566200215,0.000674763832658569,0.00398179749715586,0.0222612770943175
"PPARG (12g)",0.180737580006096,0.0320945945945946,0.184470377019749,0.198003327787022,0.286307053941909,0.4,0.0688912809472551,0.119095816464238,0.21160409556314,0.255711775043937
"PRDM1_extended (67g)",0.0014223305902672,0,0.000448833034111311,0.00582362728785358,0,0.215625,0.00322927879440258,0.00371120107962213,0.0625711035267349,0.542179261862917
"RAD21_extended (13g)",0.0181855125469877,0.0304054054054054,0.0184021543985637,0.024126455906822,0.0622406639004149,0.00625,0.081270182992465,0.0377867746288799,0.0500568828213879,0.0530169888693615
